locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
7197,PT03104,Lisboa,PT,2017-12-29T14:00:00+00:00,2017-12-29T14:00:00+00:00,no2,10.3,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T14:00:00+00:00,2017-12-29T14:00:00+00:00,pm10,37.7,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T13:00:00+00:00,2017-12-29T13:00:00+00:00,no2,12,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T13:00:00+00:00,2017-12-29T13:00:00+00:00,pm10,36.1,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T12:00:00+00:00,2017-12-29T12:00:00+00:00,no2,9.8,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T12:00:00+00:00,2017-12-29T12:00:00+00:00,pm10,24.4,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T11:00:00+00:00,2017-12-29T11:00:00+00:00,pm10,25.8,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T11:00:00+00:00,2017-12-29T11:00:00+00:00,no2,11.2,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T10:00:00+00:00,2017-12-29T10:00:00+00:00,pm10,34.4,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T10:00:00+00:00,2017-12-29T10:00:00+00:00,no2,19.5,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T09:00:00+00:00,2017-12-29T09:00:00+00:00,pm10,35.2,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T09:00:00+00:00,2017-12-29T09:00:00+00:00,no2,18.7,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T08:00:00+00:00,2017-12-29T08:00:00+00:00,no2,9.5,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T08:00:00+00:00,2017-12-29T08:00:00+00:00,pm10,42.2,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T07:00:00+00:00,2017-12-29T07:00:00+00:00,no2,7,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T07:00:00+00:00,2017-12-29T07:00:00+00:00,pm10,40.2,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T06:00:00+00:00,2017-12-29T06:00:00+00:00,no2,3.9,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T06:00:00+00:00,2017-12-29T06:00:00+00:00,pm10,25.5,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T05:00:00+00:00,2017-12-29T05:00:00+00:00,no2,3.6,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T05:00:00+00:00,2017-12-29T05:00:00+00:00,pm10,26.9,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T04:00:00+00:00,2017-12-29T04:00:00+00:00,pm10,36.6,µg/m³,38.701389,-9.429444
7197,PT03104,Lisboa,PT,2017-12-29T04:00:00+00:00,2017-12-29T04:00:00+00:00,no2,5.6,µg/m³,38.701389,-9.429444
