date, pm25, pm10, o3, no2, so2
2023/4/3, 9, , , , 
2023/1/3, 10, 2, , 4, 
2023/1/4, 6, 8, , 5, 
2023/1/5, 15, 13, , 7, 
2023/1/6, 21, 10, , 8, 
2023/1/7, 20, 1, , 2, 
2023/1/8, 16, 1, , , 
2023/1/9, 9, 5, , 4, 
2023/1/10, 12, 2, , 3, 
2023/1/11, 14, , , , 
2023/1/13, 9, 7, , 4, 
2023/1/14, 11, 11, , 5, 
2023/1/15, 14, 7, , 3, 
2023/1/16, 14, 8, , 4, 
2023/1/17, 8, 15, , 1, 
2023/1/18, 7, 3, , 7, 
2023/1/19, 15, 6, 11, 5, 
2023/1/20, 12, 8, 10, 4, 
2023/1/21, 15, 1, 10, 2, 
2023/1/22, 8, 2, 13, 1, 
2023/1/23, 7, 2, 13, 4, 
2023/1/24, 6, 5, 12, 3, 
2023/1/25, 7, 8, 11, 4, 
2023/1/26, 8, 9, 15, 5, 
2023/1/27, 8, 11, 12, 4, 
2023/1/28, 13, 6, 14, 4, 
2023/1/29, 7, 7, 15, 2, 
2023/1/30, 10, 9, 16, 2, 
2023/1/31, 9, , , , 
2023/2/2, 6, 12, 13, 1, 
2023/2/3, 19, , , , 
2023/2/7, 23, 5, 19, 3, 
2023/2/8, 17, 2, 9, 5, 
2023/2/9, 14, 2, 15, 2, 
2023/2/10, 15, 2, 13, 2, 
2023/2/11, 10, 3, 21, 2, 
2023/2/12, 11, 4, 12, 3, 
2023/2/13, 14, , , , 
2023/2/16, 27, 12, 12, 6, 
2023/2/17, 23, 9, 12, 3, 
2023/2/18, 18, 4, 17, 1, 
2023/2/19, 23, , , , 
2023/2/23, 37, 18, 14, 2, 
2023/2/24, 21, , , , 
2023/2/28, 12, 12, 19, 5, 
2023/3/1, 11, 11, 20, 4, 
2023/3/2, 14, 11, 16, 4, 
2023/3/3, 15, 448, 23, 2, 
2023/3/4, 13, , , , 
2023/3/16, 13, 28, 20, 3, 
2023/3/17, 11, 198, 11, 2, 
2023/3/18, 16, , , , 
2023/3/20, 8, 12, 23, 2, 
2023/3/21, 11, 14, 18, 2, 
2023/3/22, 9, 11, 18, 2, 
2023/3/23, 12, 17, 12, 3, 3
2023/3/24, 9, 12, 6, 3, 
2023/3/25, 8, 7, 5, 2, 
2023/3/26, 6, 6, 27, 3, 
2023/3/27, 12, 19, 23, 5, 
2023/3/28, 13, 23, 30, 3, 
2023/3/29, 13, 33, 25, 4, 
2023/3/30, 19, 20, 18, 3, 
2023/3/31, 12, , , , 
2022/10/1, 8, 6, 24, 1, 
2022/10/2, 8, 33, 27, 3, 
2022/10/3, 17, 52, 28, 9, 
2022/10/4, 27, 53, 29, 6, 
2022/10/5, 31, 49, 26, 4, 
2022/10/6, 31, 32, 26, 4, 
2022/10/7, 22, 43, 29, 4, 
2022/10/8, 31, 45, 27, 2, 
2022/10/9, 27, 52, 20, 4, 
2022/10/10, 31, 25, 21, 4, 
2022/10/11, 20, 35, 25, 5, 
2022/10/12, 26, 26, 25, 3, 
2022/10/13, 19, 19, 25, 7, 
2022/10/14, 18, 22, 26, 5, 
2022/10/15, 21, 24, 20, 5, 
2022/10/16, 24, 26, 13, 4, 
2022/10/17, 24, 53, 19, 5, 
2022/10/18, 29, 39, 13, 1, 
2022/10/19, 16, 33, 18, 1, 
2022/10/20, 12, 25, 18, 2, 
2022/10/21, 14, 32, 18, 1, 
2022/10/22, 21, 27, 20, 3, 
2022/10/23, 21, 24, 16, 4, 
2022/10/24, 17, 18, 15, 5, 
2022/10/25, 12, 22, 13, 8, 
2022/10/26, 18, 39, 17, 5, 
2022/10/27, 30, 34, 21, 4, 
2022/10/28, 26, 41, 23, 3, 
2022/10/29, 26, 28, 20, 3, 
2022/10/31, 22, 38, 16, 7, 
2022/11/1, 32, 13, 17, 3, 
2022/11/2, 10, 11, 20, 4, 
2022/11/3, 13, 14, 21, 4, 
2022/11/4, 14, 16, 14, 3, 
